,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
A,A,11.90241983,25.96,2729000000,10705000000,1347000000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,2729000000,Americas,,,
AAL,AAL,-3.103152978,75.95,38060000000,66442000000,-1059000000,Passenger Transportation Services,Airlines,35571000000,Americas,,,
AAOI,AAOI,-12.33646043,-7.259,145983000,480805000,-48842000,Electronic Equipment & Parts,Electronic Equipment & Parts,91758000,Americas,,,
AAP,AAP,4.270768902,16.52,1032984000,11839636000,701885000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",1032984000,Americas,,,
AAWW,AAWW,6.31259566,18.7,2319141000,6029188000,494687000,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",1991469000,Americas,,,
ABBV,ABBV,3.856809079,,86056000000,151000000000.0,11363000000,Pharmaceuticals,Pharmaceuticals,77533000000,Americas,,,
ABC,ABC,3.040188851,-888.6,6683924000,57337805000,2354197000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",6383711000,Americas,,,
ABE,ABE,4.666187677,,79674743.39,705729136.6,43534245.14,"Computers, Phones & Household Electronics",Computer Hardware,50528443.55,Europe,,,
ABG,ABG,-4.614910463,,5819311187,3253148510,295956277.5,Construction & Engineering,Construction & Engineering,278502686.9,Europe,,,
ABIO,ABIO,3.667913351,14.84,1148584514,2138165608,149587200.8,Electric Utilities & IPPs,Independent Power Producers,1004921837,Europe,,,
ABT,ABT,6.404386371,20.519,18747000000,72548000000,5472000000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",18527000000,Americas,,,
AC,AC,1.4157049,,9703644595,29280524724,904334117.9,Real Estate Operations,"Real Estate Rental, Development & Operations",7765056634,Asia,,,
ACA,ACA,4.307766912,,254500000,2646700000,151800000,Construction & Engineering,Construction & Engineering,100000000,Americas,,,
ACB,ACB,-25.74212918,6.07,322373729.2,2101606422,-544425528.5,Pharmaceuticals,Pharmaceuticals,236551557.2,Americas,,,
ACCO,ACCO,2.124269782,,1131100000,3048700000,112400000,Professional & Commercial Services,Business Support Supplies,1054600000,Americas,,,
ACHC,ACHC,2.140613031,11.179,3165358000,6499362000,309083000,Healthcare Providers & Services,Healthcare Facilities & Services,2968948000,Americas,,,
ACIW,ACIW,2.187092751,6.22,1155007000,3386903000,143644000,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),1120742000,Americas,,,
ACM,ACM,2.585972008,14.05,2211578000,11733954000,629553000,Construction & Engineering,Construction & Engineering,2125640000,Americas,,,
ACOR,ACOR,-13.90591163,,234805000,632680000,-78076000,Biotechnology & Medical Research,Biotechnology & Medical Research,166174000,Americas,,,
ACR,ACR,4.0596602,2.779,505800107.1,966772494.1,86086376.38,Electric Utilities & IPPs,Electric Utilities,428869440.9,Asia,,,
ADBE,ADBE,18.71712761,42.789,4123000000,27241000000,5802000000,Software & IT Services,Software,4123000000,Americas,,,
ADL,ADL,2.298893778,9.699,4427101856,7684798486,411254274.5,Real Estate Operations,"Real Estate Rental, Development & Operations",3160904983,Europe,,,
ADM,ADM,,,,,,Food & Tobacco,Food Processing,,Americas,,,
ADN,ADN,3.269514672,5.9,617953668,2592611856,107179196,Real Estate Operations,"Real Estate Rental, Development & Operations",465600726.8,Asia,,,
ADP,ADP,5.909845573,45.13,2986200000,48772500000,3304700000,Software & IT Services,IT Services & Consulting,2985000000,Americas,,,
ADS,ADS,2.055926964,6.52,7204445530,25712017587,917195896.4,Textiles & Apparel,Footwear,3031265266,Europe,,,
ADSK,ADSK,17.95365218,217.76,1637200000,7279800000,629100000,Software & IT Services,Software,1637200000,Americas,,,
AEE,AEE,2.877154996,10.25,11576000000,32030000000,1300000000,Multiline Utilities,Multiline Utilities,11078000000,Americas,,,
AEO,AEO,-6.188348167,0.59,325290000,3434806000,-271345000,Specialty Retailers,Apparel & Accessories Retailers,325290000,Americas,,,
AEP,AEP,2.627011258,10.919,33840900000,80757200000,2987700000,Electric Utilities & IPPs,Electric Utilities,28986400000,Americas,,,
AERI,AERI,-42.84803306,-149.8,210373000,402045000,-155690000,Pharmaceuticals,Pharmaceuticals,210373000,Americas,,,
AFK,AFK,0.989924246,,148987514.4,814535026.1,18769162.62,Electric Utilities & IPPs,Electric Utilities,49312768.86,Europe,,,
AGE,AGE,4.442992644,,88363581.89,180900765.6,10268845.87,Coal,Coal,13394806.92,Asia,,,
AHH,AHH,1.986045717,4.23,981799000,1916971000,48741000,Residential & Commercial REITs,Commercial REITs,856012000,Americas,,,
AIA,AIA,4.865828092,-0.574,972455926,6830371793,32675859.66,Transport Infrastructure,Airport Operators & Services,818851457.5,Oceania,,,
AIM,AIM,-2.972440945,,0,348939513,-15868028.28,Professional & Commercial Services,Business Support Services,,Americas,,,
AIR,AIR,-4.059844068,-21.46,2309652644,4673765055,-257636585.8,Passenger Transportation Services,Airlines,714260778.5,Oceania,,,
